moisture_percent,permeability,mold_hardness,pouring_temp_C,defect_label
3.94,119.0,104.6,1439.9,No_Defect
3.39,103.1,91.2,1466.6,No_Defect
4.5,114.2,90.4,1477.0,No_Defect
5.08,104.2,93.6,1398.3,No_Defect
3.76,110.5,98.6,1409.1,No_Defect
4.53,102.8,95.8,1416.6,No_Defect
4.14,115.7,94.0,1431.4,No_Defect
4.48,100.9,102.2,1397.1,No_Defect
3.16,119.0,109.3,1460.8,No_Defect
3.76,102.0,103.7,1424.0,No_Defect
3.31,109.9,90.7,1470.9,No_Defect
3.65,113.3,96.2,1432.0,No_Defect
4.37,103.7,109.4,1457.5,No_Defect
5.35,117.9,102.0,1472.2,No_Defect
3.22,103.9,90.9,1412.5,No_Defect
3.97,105.4,106.6,1415.7,No_Defect
3.7,110.9,92.8,1460.2,No_Defect
3.19,119.7,105.4,1399.9,No_Defect
3.01,116.3,104.1,1452.9,No_Defect
4.93,101.5,97.2,1391.6,No_Defect
5.16,112.5,96.6,1386.4,No_Defect
3.78,106.5,104.6,1443.8,No_Defect
5.22,109.4,92.4,1451.3,No_Defect
4.9,111.2,105.4,1429.4,No_Defect
4.31,108.6,90.5,1390.8,No_Defect
3.08,112.7,96.3,1430.9,No_Defect
5.27,105.0,98.2,1455.6,No_Defect
3.57,101.5,95.8,1396.1,No_Defect
5.32,116.2,102.7,1467.1,No_Defect
5.01,103.7,107.9,1433.9,No_Defect
5.02,117.9,96.4,1391.0,No_Defect
3.57,108.5,106.4,1466.1,No_Defect
3.02,110.2,98.3,1402.2,No_Defect
3.3,106.8,108.9,1412.3,No_Defect
4.3,114.1,97.3,1477.2,No_Defect
5.41,105.0,99.9,1410.1,No_Defect
3.71,100.7,102.2,1430.3,No_Defect
3.13,105.6,108.2,1404.0,No_Defect
3.36,109.8,109.7,1404.2,No_Defect
4.68,115.2,94.8,1452.8,No_Defect
3.92,112.6,102.7,1433.6,No_Defect
3.23,116.7,96.4,1398.7,No_Defect
3.1,111.8,103.6,1381.7,No_Defect
4.28,104.5,102.9,1397.4,No_Defect
4.73,107.7,108.7,1393.8,No_Defect
3.85,102.3,108.5,1467.7,No_Defect
3.64,113.2,106.3,1435.5,No_Defect
4.32,104.8,91.9,1469.7,No_Defect
5.25,112.7,96.8,1414.9,No_Defect
4.81,117.9,107.7,1458.0,No_Defect
4.61,101.7,93.2,1469.9,No_Defect
4.52,100.2,92.0,1446.4,No_Defect
3.01,103.2,101.0,1449.2,No_Defect
4.63,104.5,104.2,1403.7,No_Defect
3.81,114.9,103.0,1464.9,No_Defect
4.64,111.4,91.9,1416.8,No_Defect
3.66,104.9,109.5,1419.3,No_Defect
5.23,112.6,105.9,1430.3,No_Defect
4.44,109.9,93.9,1452.2,No_Defect
3.7,100.5,102.9,1397.7,No_Defect
5.35,119.1,108.3,1417.0,No_Defect
3.04,118.6,98.6,1476.7,No_Defect
5.41,117.1,95.9,1418.5,No_Defect
5.13,106.3,93.4,1435.7,No_Defect
5.34,113.9,101.4,1389.7,No_Defect
4.54,119.8,92.8,1431.8,No_Defect
5.19,114.8,103.9,1450.2,No_Defect
3.9,105.9,106.2,1461.0,No_Defect
5.17,118.3,100.2,1430.2,No_Defect
5.0,113.0,104.0,1459.6,No_Defect
5.23,106.8,97.5,1389.4,No_Defect
4.45,100.7,99.3,1434.3,No_Defect
3.72,111.8,90.6,1383.7,No_Defect
5.06,107.2,92.5,1432.2,No_Defect
4.92,104.3,102.5,1388.5,No_Defect
3.13,110.6,100.8,1443.7,No_Defect
4.82,119.5,100.3,1412.3,No_Defect
4.99,105.4,98.8,1387.8,No_Defect
3.06,119.3,106.7,1449.6,No_Defect
4.02,103.5,93.1,1405.0,No_Defect
4.37,114.3,103.2,1408.0,No_Defect
5.39,114.8,101.1,1441.2,No_Defect
4.05,105.0,97.1,1455.8,No_Defect
3.04,102.3,90.9,1384.1,No_Defect
5.14,114.1,99.5,1389.8,No_Defect
4.23,109.5,93.5,1423.4,No_Defect
4.0,112.3,102.7,1384.5,No_Defect
3.94,112.5,100.1,1465.6,No_Defect
4.65,103.3,91.4,1444.2,No_Defect
3.07,111.7,108.8,1437.5,No_Defect
3.97,112.9,99.2,1434.6,No_Defect
5.35,107.7,109.2,1470.5,No_Defect
3.49,101.4,92.0,1381.8,No_Defect
3.24,113.7,91.4,1411.9,No_Defect
5.11,100.5,106.3,1408.2,No_Defect
3.3,113.9,102.6,1467.7,No_Defect
4.84,116.1,95.6,1397.7,No_Defect
4.88,116.1,109.8,1421.3,No_Defect
3.93,115.5,96.8,1473.1,No_Defect
5.15,108.6,105.0,1455.5,No_Defect
3.26,118.1,100.1,1462.6,No_Defect
3.8,117.9,97.8,1381.1,No_Defect
5.26,101.8,96.4,1475.0,No_Defect
5.38,111.5,102.6,1424.8,No_Defect
3.73,106.6,103.5,1455.2,No_Defect
4.98,115.8,91.8,1429.4,No_Defect
3.14,111.0,98.8,1468.8,No_Defect
3.88,102.3,92.9,1456.2,No_Defect
4.55,102.0,91.7,1450.1,No_Defect
3.18,116.4,104.1,1388.1,No_Defect
3.21,119.7,97.5,1417.1,No_Defect
5.03,118.9,109.7,1455.3,No_Defect
3.94,101.7,105.5,1435.8,No_Defect
4.06,118.1,92.2,1429.3,No_Defect
3.03,109.4,91.1,1391.9,No_Defect
3.29,113.0,104.9,1438.3,No_Defect
5.41,107.5,95.7,1466.9,No_Defect
3.56,119.3,90.2,1477.0,No_Defect
3.11,117.8,100.6,1479.3,No_Defect
3.18,111.1,109.4,1432.3,No_Defect
4.57,113.9,99.1,1442.8,No_Defect
4.46,118.0,90.9,1408.1,No_Defect
5.38,117.8,99.1,1442.0,No_Defect
3.69,103.8,99.3,1415.3,No_Defect
4.46,101.6,109.5,1478.6,No_Defect
4.75,110.7,96.2,1461.4,No_Defect
4.71,103.3,108.2,1462.3,No_Defect
5.37,114.5,102.3,1421.8,No_Defect
5.33,117.3,90.9,1382.6,No_Defect
3.94,116.2,109.7,1395.0,No_Defect
4.49,107.6,109.4,1464.2,No_Defect
5.1,109.4,98.3,1407.3,No_Defect
3.14,117.3,106.3,1480.0,No_Defect
5.49,111.1,105.4,1474.5,No_Defect
5.12,104.9,99.0,1392.9,No_Defect
5.39,112.1,94.6,1447.2,No_Defect
4.55,107.2,92.3,1447.2,No_Defect
4.3,115.4,100.4,1465.2,No_Defect
4.38,111.2,107.5,1420.3,No_Defect
3.34,100.6,105.1,1442.0,No_Defect
4.76,104.3,92.7,1381.5,No_Defect
3.88,111.8,97.8,1423.7,No_Defect
5.26,107.0,100.3,1458.4,No_Defect
3.99,112.4,107.2,1475.0,No_Defect
3.37,118.5,99.8,1405.8,No_Defect
4.15,119.6,99.9,1412.9,No_Defect
4.58,104.8,91.5,1392.9,No_Defect
3.32,103.0,92.8,1444.1,No_Defect
3.45,106.9,107.9,1427.4,No_Defect
4.67,103.4,93.8,1384.1,No_Defect
3.42,105.6,93.5,1388.9,No_Defect
3.3,109.2,94.1,1416.4,No_Defect
4.26,113.8,90.8,1459.9,No_Defect
4.57,101.6,107.5,1472.1,No_Defect
3.15,105.5,106.1,1454.8,No_Defect
3.46,104.2,97.4,1428.5,No_Defect
4.55,107.4,99.3,1454.7,No_Defect
3.09,105.0,104.3,1469.5,No_Defect
4.28,110.6,92.1,1424.7,No_Defect
4.33,104.8,95.4,1417.7,No_Defect
3.05,106.4,94.2,1412.7,No_Defect
3.3,117.8,101.9,1447.9,No_Defect
4.97,110.0,91.7,1433.7,No_Defect
4.47,114.9,98.6,1392.8,No_Defect
3.71,107.3,102.9,1437.1,No_Defect
3.89,119.7,102.1,1403.7,No_Defect
3.25,103.1,94.9,1396.1,No_Defect
3.47,105.7,93.5,1469.7,No_Defect
3.2,110.5,98.2,1478.2,No_Defect
3.28,108.0,109.4,1466.6,No_Defect
5.04,105.2,93.4,1446.9,No_Defect
5.32,111.1,101.4,1408.0,No_Defect
4.92,103.7,96.5,1422.5,No_Defect
4.27,104.8,92.3,1441.1,No_Defect
3.72,111.6,93.1,1428.1,No_Defect
4.33,101.0,96.7,1393.4,No_Defect
3.16,119.8,96.4,1461.0,No_Defect
3.64,113.6,105.2,1439.6,No_Defect
4.18,108.2,97.0,1473.0,No_Defect
5.08,119.3,92.5,1453.1,No_Defect
5.35,103.6,91.3,1454.1,No_Defect
4.44,116.8,92.8,1459.5,No_Defect
3.5,103.3,93.3,1461.5,No_Defect
4.66,110.5,97.2,1467.7,No_Defect
3.98,116.3,98.8,1417.7,No_Defect
4.16,106.0,105.0,1430.3,No_Defect
3.58,118.0,97.7,1434.4,No_Defect
5.27,112.5,92.3,1474.0,No_Defect
4.57,106.7,92.8,1459.4,No_Defect
4.55,110.7,107.9,1458.9,No_Defect
3.38,106.2,95.0,1454.4,No_Defect
3.08,111.4,105.2,1467.7,No_Defect
3.86,116.4,92.2,1464.6,No_Defect
3.32,107.9,105.9,1395.0,No_Defect
3.57,114.4,104.4,1444.1,No_Defect
4.73,110.9,95.0,1414.6,No_Defect
3.45,118.2,101.7,1420.1,No_Defect
4.16,118.9,93.1,1438.6,No_Defect
4.26,112.2,90.4,1467.2,No_Defect
5.33,111.3,103.9,1472.2,No_Defect
4.77,103.1,101.5,1440.7,No_Defect
4.06,114.7,108.7,1472.6,No_Defect
4.13,102.3,109.7,1463.9,No_Defect
3.31,118.4,107.4,1431.9,No_Defect
4.48,108.0,91.1,1413.5,No_Defect
5.01,100.1,96.7,1419.8,No_Defect
4.34,118.4,96.9,1414.7,No_Defect
4.84,109.0,94.5,1425.2,No_Defect
3.35,103.5,100.0,1421.9,No_Defect
5.29,107.2,101.6,1443.2,No_Defect
3.03,113.3,93.6,1476.1,No_Defect
3.37,108.3,91.7,1479.7,No_Defect
4.26,111.9,91.3,1455.0,No_Defect
3.52,118.0,94.1,1399.1,No_Defect
3.09,109.4,101.3,1386.6,No_Defect
4.94,109.1,100.5,1424.1,No_Defect
4.0,111.2,93.1,1398.2,No_Defect
5.15,118.9,97.5,1407.1,No_Defect
4.61,108.2,90.5,1395.6,No_Defect
4.79,113.2,90.5,1402.2,No_Defect
3.58,113.4,90.4,1390.4,No_Defect
5.0,103.6,103.1,1403.8,No_Defect
3.25,104.9,104.4,1465.6,No_Defect
5.08,107.9,103.4,1400.5,No_Defect
3.73,117.9,90.3,1388.6,No_Defect
3.52,100.5,93.6,1438.3,No_Defect
4.05,117.9,106.3,1414.2,No_Defect
3.65,107.6,101.8,1406.8,No_Defect
4.56,108.2,101.0,1423.6,No_Defect
3.74,119.0,105.3,1394.0,No_Defect
5.17,109.7,107.9,1460.0,No_Defect
4.06,100.4,95.4,1434.2,No_Defect
4.58,105.2,92.8,1463.5,No_Defect
5.46,110.5,93.4,1407.2,No_Defect
3.05,118.3,92.4,1437.7,No_Defect
3.69,111.1,103.0,1463.0,No_Defect
3.52,100.2,92.7,1470.0,No_Defect
5.18,111.9,102.0,1446.5,No_Defect
3.44,118.3,98.4,1418.3,No_Defect
4.3,100.9,93.3,1453.8,No_Defect
